Record Length,10000,,Source,CH1,CH2
Sample Interval,CH1:0.0000080000000 CH2:0.0000080000000,,Second,Volt,Volt
,,,-0.03864799812,1.12000,0.68000
,,,-0.03863999993,1.12000,0.68000
,,,-0.03863200173,1.12000,0.68000
,,,-0.03862399980,1.12000,0.68000
,,,-0.03861600161,1.12000,0.68000
,,,-0.03860799968,1.12000,0.68000
,,,-0.03860000148,1.12000,0.72000
,,,-0.03859199956,1.12000,0.72000
,,,-0.03858400136,1.12000,0.72000
,,,-0.03857599944,1.12000,0.72000
,,,-0.03856800124,1.12000,0.72000
,,,-0.03855999932,1.12000,0.72000
,,,-0.03855200112,1.12000,0.72000
,,,-0.03854399920,1.12000,0.76000
,,,-0.03853600100,1.12000,0.76000
,,,-0.03852799907,1.12000,0.76000
,,,-0.03852000087,1.12000,0.76000
,,,-0.03851199895,1.12000,0.76000
,,,-0.03850400075,1.12000,0.72000
,,,-0.03849599883,1.12000,0.76000
,,,-0.03848800063,1.20000,0.76000
,,,-0.03847999871,1.20000,0.76000
,,,-0.03847200051,1.20000,0.76000
,,,-0.03846399859,1.20000,0.76000
,,,-0.03845600039,1.12000,0.76000
,,,-0.03844799846,1.12000,0.76000
,,,-0.03844000027,1.12000,0.76000
,,,-0.03843199834,1.12000,0.76000
,,,-0.03842400014,1.12000,0.76000
,,,-0.03841599822,1.20000,0.80000
,,,-0.03840800002,1.20000,0.80000
,,,-0.03839999810,1.12000,0.76000
,,,-0.03839199990,1.20000,0.80000
,,,-0.03838400170,1.20000,0.80000
,,,-0.03837599978,1.12000,0.76000
,,,-0.03836800158,1.12000,0.80000
,,,-0.03835999966,1.12000,0.80000
,,,-0.03835200146,1.12000,0.80000
,,,-0.03834399953,1.12000,0.80000
,,,-0.03833600134,1.12000,0.80000
,,,-0.03832799941,1.12000,0.80000
,,,-0.03832000121,1.12000,0.80000
,,,-0.03831199929,1.12000,0.84000
,,,-0.03830400109,1.12000,0.84000
,,,-0.03829599917,1.12000,0.80000
,,,-0.03828800097,1.12000,0.84000
,,,-0.03827999905,1.12000,0.84000
,,,-0.03827200085,1.12000,0.84000
,,,-0.03826399893,1.20000,0.84000
,,,-0.03825600073,1.20000,0.84000
,,,-0.03824799880,1.20000,0.80000
