Record Length,10000,,Source,CH1,CH2
Sample Interval,CH1:0.0000799999980 CH2:0.0000799999980,,Second,Volt,Volt
,,,-0.39583998919,2.20000,1.40000
,,,-0.39575999975,2.20000,1.40000
,,,-0.39567998052,2.20000,1.20000
,,,-0.39559999108,2.00000,1.40000
,,,-0.39552000165,2.20000,1.60000
,,,-0.39543998241,2.20000,1.60000
,,,-0.39535999298,2.20000,1.60000
,,,-0.39528000355,2.40000,1.60000
,,,-0.39519998431,2.60000,1.60000
,,,-0.39511999488,2.60000,1.60000
,,,-0.39503997564,2.40000,1.60000
,,,-0.39495998621,2.40000,1.80000
,,,-0.39487999678,2.40000,1.80000
,,,-0.39479997754,2.60000,1.80000
,,,-0.39471998811,2.60000,1.80000
,,,-0.39463999867,2.60000,1.80000
,,,-0.39455997944,2.80000,2.00000
,,,-0.39447999001,2.80000,2.00000
,,,-0.39440000057,2.60000,2.00000
,,,-0.39431998134,2.60000,2.00000
,,,-0.39423999190,2.80000,2.00000
,,,-0.39416000247,2.80000,2.00000
,,,-0.39407998323,2.80000,2.00000
,,,-0.39399999380,2.80000,2.00000
,,,-0.39392000437,2.80000,2.00000
,,,-0.39383998513,2.80000,2.00000
,,,-0.39375999570,2.80000,2.20000
,,,-0.39367997646,2.80000,2.20000
,,,-0.39359998703,2.80000,2.40000
,,,-0.39351999760,3.00000,2.20000
,,,-0.39343997836,3.00000,2.20000
,,,-0.39335998893,3.00000,2.20000
,,,-0.39327999949,3.00000,2.20000
,,,-0.39319998026,2.80000,2.20000
,,,-0.39311999083,2.80000,2.40000
,,,-0.39304000139,3.20000,2.40000
,,,-0.39295998216,3.20000,2.40000
,,,-0.39287999272,3.00000,2.40000
,,,-0.39280000329,3.00000,2.40000
,,,-0.39271998405,3.00000,2.40000
,,,-0.39263999462,3.20000,2.40000
,,,-0.39255997539,3.20000,2.60000
,,,-0.39247998595,3.20000,2.60000
,,,-0.39239999652,3.20000,2.60000
,,,-0.39231997728,3.20000,2.40000
,,,-0.39223998785,3.40000,2.60000
,,,-0.39215999842,3.40000,2.60000
,,,-0.39207997918,3.40000,2.80000
,,,-0.39199998975,3.40000,2.80000
,,,-0.39192000031,3.40000,2.60000
,,,-0.39183998108,3.40000,2.60000
,,,-0.39175999165,3.40000,2.60000
,,,-0.39168000221,3.40000,2.80000
,,,-0.39159998298,3.20000,2.80000
,,,-0.39151999354,3.40000,2.80000
,,,-0.39144000411,3.40000,2.80000
,,,-0.39135998487,3.40000,2.80000
,,,-0.39127999544,3.60000,2.80000
