Record Length,20480,,Source,CH1
Sample Interval,CH1:0.0000080000000,,Second,Volt
,,,-0.07983200252,4.64000,
,,,-0.07982400060,4.56000,
,,,-0.07981599867,4.64000,
,,,-0.07980799675,4.64000,
,,,-0.07980000228,4.64000,
,,,-0.07979200035,4.64000,
,,,-0.07978399843,4.64000,
,,,-0.07977599651,4.64000,
,,,-0.07976800203,4.64000,
,,,-0.07976000011,4.64000,
,,,-0.07975199819,4.64000,
,,,-0.07974399626,4.64000,
,,,-0.07973600179,4.64000,
,,,-0.07972799987,4.56000,
,,,-0.07971999794,4.64000,
,,,-0.07971200347,4.64000,
,,,-0.07970400155,4.64000,
,,,-0.07969599962,4.64000,
,,,-0.07968799770,4.64000,
,,,-0.07968000323,4.56000,
,,,-0.07967200130,4.64000,
,,,-0.07966399938,4.64000,
,,,-0.07965599746,4.64000,
,,,-0.07964800298,4.64000,
,,,-0.07964000106,4.72000,
,,,-0.07963199914,4.64000,
,,,-0.07962399721,4.56000,
,,,-0.07961600274,4.64000,
,,,-0.07960800081,4.56000,
,,,-0.07959999889,4.64000,
,,,-0.07959199697,4.64000,
,,,-0.07958400249,4.64000,
,,,-0.07957600057,4.64000,
,,,-0.07956799865,4.64000,
,,,-0.07955999672,4.64000,
,,,-0.07955200225,4.64000,
,,,-0.07954400033,4.64000,
,,,-0.07953599840,4.56000,
,,,-0.07952799648,4.56000,
,,,-0.07952000201,4.64000,
,,,-0.07951200008,4.64000,
,,,-0.07950399816,4.64000,
,,,-0.07949599624,4.64000,
,,,-0.07948800176,4.64000,
,,,-0.07947999984,4.72000,
,,,-0.07947199792,4.64000,
,,,-0.07946400344,4.64000,
,,,-0.07945600152,4.64000,
,,,-0.07944799960,4.64000,
,,,-0.07943999767,4.56000,
,,,-0.07943200320,4.56000,
,,,-0.07942400128,4.56000,
,,,-0.07941599935,4.64000,
,,,-0.07940799743,4.64000,
,,,-0.07940000296,4.64000,
,,,-0.07939200103,4.64000,
,,,-0.07938399911,4.64000,
,,,-0.07937599719,4.64000,
,,,-0.07936800271,4.56000,
,,,-0.07936000079,4.56000,
,,,-0.07935199887,4.56000,
,,,-0.07934399694,4.56000,
,,,-0.07933600247,4.64000,
,,,-0.07932800055,4.64000,
,,,-0.07931999862,4.56000,
,,,-0.07931199670,4.72000,
,,,-0.07930400223,4.64000,
,,,-0.07929600030,4.64000,
,,,-0.07928799838,4.64000,
,,,-0.07927999645,4.56000,
,,,-0.07927200198,4.56000,
,,,-0.07926400006,4.64000,
,,,-0.07925599813,4.64000,
,,,-0.07924799621,4.56000,
,,,-0.07924000174,4.64000,
,,,-0.07923199981,4.56000,
,,,-0.07922399789,4.64000,
,,,-0.07921600342,4.64000,
,,,-0.07920800149,4.64000,
,,,-0.07919999957,4.64000,
,,,-0.07919199765,4.64000,
,,,-0.07918400317,4.64000,
,,,-0.07917600125,4.64000,
,,,-0.07916799933,4.56000,
,,,-0.07915999740,4.64000,
,,,-0.07915200293,4.64000,
,,,-0.07914400101,4.64000,
