v1	I(D1)
3.249999999999975e+00	2.393637e+00
3.259999999999974e+00	2.403530e+00
3.269999999999974e+00	2.413424e+00
3.279999999999974e+00	2.423318e+00
3.289999999999974e+00	2.433213e+00
3.299999999999974e+00	2.443108e+00
3.309999999999973e+00	2.453003e+00
3.319999999999973e+00	2.462899e+00
3.329999999999973e+00	2.472796e+00
3.339999999999973e+00	2.482692e+00
3.349999999999973e+00	2.492589e+00
3.359999999999972e+00	2.502487e+00
3.369999999999972e+00	2.512385e+00
3.379999999999972e+00	2.522283e+00
3.389999999999972e+00	2.532182e+00
3.399999999999971e+00	2.542081e+00
3.409999999999971e+00	2.551980e+00
3.419999999999971e+00	2.561880e+00
3.429999999999971e+00	2.571780e+00
3.439999999999971e+00	2.581681e+00
3.449999999999970e+00	2.591582e+00
3.459999999999970e+00	2.601483e+00
3.469999999999970e+00	2.611385e+00
3.479999999999970e+00	2.621287e+00
3.489999999999970e+00	2.631190e+00
3.499999999999969e+00	2.641093e+00
3.509999999999969e+00	2.650996e+00
3.519999999999969e+00	2.660899e+00
3.529999999999969e+00	2.670803e+00
3.539999999999969e+00	2.680707e+00
3.549999999999968e+00	2.690612e+00
3.559999999999968e+00	2.700517e+00
3.569999999999968e+00	2.710422e+00
3.579999999999968e+00	2.720328e+00
3.589999999999967e+00	2.730234e+00
3.599999999999967e+00	2.740140e+00
3.609999999999967e+00	2.750047e+00
3.619999999999967e+00	2.759954e+00
3.629999999999967e+00	2.769861e+00
3.639999999999966e+00	2.779769e+00
3.649999999999966e+00	2.789677e+00
3.659999999999966e+00	2.799585e+00
3.669999999999966e+00	2.809494e+00
3.679999999999966e+00	2.819403e+00
3.689999999999965e+00	2.829312e+00
3.699999999999965e+00	2.839221e+00
3.709999999999965e+00	2.849131e+00
3.719999999999965e+00	2.859042e+00
3.729999999999964e+00	2.868952e+00
3.739999999999964e+00	2.878863e+00
3.749999999999964e+00	2.888774e+00
3.759999999999964e+00	2.898685e+00
3.769999999999964e+00	2.908597e+00
3.779999999999963e+00	2.918509e+00
3.789999999999963e+00	2.928421e+00
3.799999999999963e+00	2.938334e+00
3.809999999999963e+00	2.948247e+00
3.819999999999963e+00	2.958160e+00
3.829999999999962e+00	2.968074e+00
3.839999999999962e+00	2.977987e+00
3.849999999999962e+00	2.987901e+00
3.859999999999962e+00	2.997816e+00
3.869999999999961e+00	3.007730e+00
3.879999999999961e+00	3.017645e+00
3.889999999999961e+00	3.027560e+00
3.899999999999961e+00	3.037476e+00
3.909999999999961e+00	3.047391e+00
3.919999999999960e+00	3.057307e+00
3.929999999999960e+00	3.067224e+00
3.939999999999960e+00	3.077140e+00
3.949999999999960e+00	3.087057e+00
3.959999999999960e+00	3.096974e+00
3.969999999999959e+00	3.106891e+00
3.979999999999959e+00	3.116809e+00
3.989999999999959e+00	3.126727e+00
3.999999999999959e+00	3.136645e+00
4.009999999999959e+00	3.146563e+00
4.019999999999959e+00	3.156482e+00
4.029999999999959e+00	3.166401e+00
4.039999999999958e+00	3.176320e+00
4.049999999999958e+00	3.186239e+00
4.059999999999958e+00	3.196159e+00
4.069999999999958e+00	3.206079e+00
4.079999999999957e+00	3.215999e+00
4.089999999999957e+00	3.225919e+00
4.099999999999957e+00	3.235840e+00
4.109999999999957e+00	3.245760e+00
4.119999999999957e+00	3.255682e+00
4.129999999999956e+00	3.265603e+00
4.139999999999956e+00	3.275524e+00
4.149999999999956e+00	3.285446e+00
4.159999999999956e+00	3.295368e+00
4.169999999999956e+00	3.305290e+00
4.179999999999955e+00	3.315213e+00
4.189999999999955e+00	3.325135e+00
4.199999999999955e+00	3.335058e+00
4.209999999999955e+00	3.344981e+00
4.219999999999954e+00	3.354905e+00
4.229999999999954e+00	3.364829e+00
4.239999999999954e+00	3.374752e+00
4.249999999999954e+00	3.384676e+00
4.259999999999954e+00	3.394601e+00
4.269999999999953e+00	3.404525e+00
4.279999999999953e+00	3.414450e+00
4.289999999999953e+00	3.424375e+00
4.299999999999953e+00	3.434300e+00
4.309999999999953e+00	3.444225e+00
4.319999999999952e+00	3.454151e+00
4.329999999999952e+00	3.464077e+00
4.339999999999952e+00	3.474003e+00
4.349999999999952e+00	3.483929e+00
4.359999999999951e+00	3.493855e+00
4.369999999999951e+00	3.503782e+00
4.379999999999951e+00	3.513709e+00
4.389999999999951e+00	3.523636e+00
4.399999999999951e+00	3.533563e+00
4.409999999999950e+00	3.543490e+00
4.419999999999950e+00	3.553418e+00
4.429999999999950e+00	3.563346e+00
4.439999999999950e+00	3.573274e+00
4.449999999999950e+00	3.583202e+00
4.459999999999949e+00	3.593131e+00
4.469999999999949e+00	3.603059e+00
4.479999999999949e+00	3.612988e+00
4.489999999999949e+00	3.622917e+00
4.499999999999948e+00	3.632846e+00
4.509999999999948e+00	3.642776e+00
4.519999999999948e+00	3.652705e+00
4.529999999999948e+00	3.662635e+00
4.539999999999948e+00	3.672565e+00
4.549999999999947e+00	3.682495e+00
4.559999999999947e+00	3.692425e+00
4.569999999999947e+00	3.702356e+00
4.579999999999947e+00	3.712287e+00
4.589999999999947e+00	3.722218e+00
4.599999999999946e+00	3.732149e+00
4.609999999999946e+00	3.742080e+00
4.619999999999946e+00	3.752011e+00
4.629999999999946e+00	3.761943e+00
4.639999999999946e+00	3.771875e+00
4.649999999999945e+00	3.781807e+00
4.659999999999945e+00	3.791739e+00
4.669999999999945e+00	3.801671e+00
4.679999999999945e+00	3.811604e+00
4.689999999999944e+00	3.821537e+00
4.699999999999944e+00	3.831469e+00
4.709999999999944e+00	3.841402e+00
4.719999999999944e+00	3.851336e+00
4.729999999999944e+00	3.861269e+00
4.739999999999943e+00	3.871202e+00
4.749999999999943e+00	3.881136e+00
4.759999999999943e+00	3.891070e+00
4.769999999999943e+00	3.901004e+00
4.779999999999943e+00	3.910939e+00
4.789999999999942e+00	3.920873e+00
4.799999999999942e+00	3.930807e+00
4.809999999999942e+00	3.940742e+00
4.819999999999942e+00	3.950677e+00
4.829999999999941e+00	3.960612e+00
4.839999999999941e+00	3.970547e+00
4.849999999999941e+00	3.980483e+00
4.859999999999941e+00	3.990418e+00
4.869999999999941e+00	4.000354e+00
4.879999999999940e+00	4.010290e+00
4.889999999999940e+00	4.020226e+00
4.899999999999940e+00	4.030162e+00
4.909999999999940e+00	4.040098e+00
4.919999999999940e+00	4.050035e+00
4.929999999999939e+00	4.059971e+00
4.939999999999939e+00	4.069908e+00
4.949999999999939e+00	4.079845e+00
4.959999999999939e+00	4.089782e+00
4.969999999999938e+00	4.099719e+00
4.979999999999938e+00	4.109656e+00
4.989999999999938e+00	4.119594e+00
5.000000000000000e+00	4.129532e+00
